title,published_weekday,published_time_of_day,duration_seconds,views,likes,views_per_day,likes_per_day,tags_clean,is_outlier
Solving Medium SQL Interview Questions on Analyst Builder,Thursday,Morning,744,32980,728,63.0,2.0,"['data analyst career', 'data analytics', 'alex the analyst', 'analyst builder', 'analyst builder questions', 'analyst builder courses', 'sql technical interview questions', 'sql interview questions', 'sql questions', 'hard sql interview questions', 'easy sql interview questions', 'medium sql interview questions', 'interview questions', 'technical interview questions', 'technical interview practice', 'sql technical interview practice website', 'website to practice for technical interviews']",0
Solving Easy SQL Interview Questions on Analyst Builder,Tuesday,Morning,738,60062,1334,113.0,3.0,"['data analyst career', 'data analytics', 'alex the analyst', 'analyst builder', 'analyst builder questions', 'analyst builder courses', 'sql technical interview questions', 'sql interview questions', 'sql questions', 'hard sql interview questions', 'easy sql interview questions', 'medium sql interview questions', 'interview questions', 'technical interview questions', 'technical interview practice', 'sql technical interview practice website', 'website to practice for technical interviews']",0
How I Would Become a Data Analyst if I had to Start Over in 2024 | 6 Month Plan,Tuesday,Morning,661,412892,16290,765.0,31.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'become a data analyst', 'how to become a data analyst', 'what is a data analyst']",0
Limit + Aliasing in MySQL | MySQL Beginner Series,Tuesday,Morning,237,134840,2593,247.0,5.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
Practice SQL and Python right on your Phone!,Wednesday,Morning,28,9884,638,18.0,2.0,[],0
Analyst Builder Full Launch! | The Learning Platform Built for Data Analysts,Tuesday,Morning,987,25009,1024,46.0,2.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
Analyst Builder Full Launch LiveStream | 20% Off Code & Giveaways,Monday,Afternoon,16464,12042,475,22.0,1.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
Having vs Where in MySQL | Beginner MySQL Series,Tuesday,Morning,226,158939,2834,284.0,6.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
#Excel is Frustrating,Wednesday,Afternoon,47,12314,791,22.0,2.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
7 Mistakes to Avoid in Your Data Analytics Job Search | CareerFoundry Webinar,Tuesday,Afternoon,4297,14274,432,26.0,1.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
Group By + Order By in MySQL | Beginner MySQL Series,Tuesday,Morning,646,212914,3688,375.0,7.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
Where Clause in MySQL | Beginner MySQL Series,Tuesday,Morning,747,231250,3683,403.0,7.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
Why Data Analysts Hate Using Excel,Tuesday,Morning,444,26089,971,45.0,2.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
Select Statement in MySQL | Beginner MySQL Series,Tuesday,Morning,660,361955,4536,615.0,8.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
Installing MySQL and Creating Databases | MySQL for Beginners,Tuesday,Morning,724,1052820,13482,1767.0,23.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
Python Beginner to Advanced in One Hour | CareerFoundry Webinar,Thursday,Afternoon,4709,26603,990,45.0,2.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
How to Start a Data YouTube Channel,Tuesday,Morning,657,9770,432,17.0,1.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
600k Livestream! | Analyst Builder Giveaways | Songs | My Mom is Joining!,Friday,Afternoon,5107,5159,237,9.0,1.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'livestream']",0
Consulting and Freelancing in Data Analytics | ATA Show: Episode 25,Tuesday,Morning,4443,19512,725,32.0,2.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
First Look at Analyst Builder! | The All-in-One Platform for Data Analysts | Beta Launch Coming Soon,Tuesday,Morning,1311,32284,854,53.0,2.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
#DataAnalysis #DataAnalyst #DataRealities,Monday,Morning,40,29797,1781,49.0,3.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
#DataAnalyst #DataCareers #DataAnalysis,Thursday,Morning,58,17332,1301,28.0,3.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
